loc_rowid,pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist
5493,KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,1,Microlensing,2021,,1.305000,,0.01906,,,,,0.22,,6705.0000000
5496,KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,1,Microlensing,2020,,6.030000,,4.42000,,,,,1.09,,3460.0000000
5499,KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,1,Microlensing,2021,,1.449000,,0.24500,,,,,0.19,,6483.0000000
5501,KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,1,Microlensing,2021,,3.540000,,2.22000,,,,,0.65,,5840.0000000
5503,KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,1,Microlensing,2022,,3.090000,,0.01749,,,,,0.47,,4150.0000000
5506,KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,1,Microlensing,2019,,0.763000,,0.34800,,M,,,0.09,,967.0000000
5516,KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,1,Microlensing,2021,,4.270000,,1.09000,,,,,0.69,,5910.0000000
5517,KMT-2018-BLG-2602L b,KMT-2018-BLG-2602L,1,Microlensing,2022,,3.810000,,1.15000,,,,,0.66,,4310.0000000
5522,KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,1,Microlensing,2022,,3.100000,,0.02895,,,,,0.70,,4900.0000000
5526,KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,1,Microlensing,2023,,5.670000,,1.81000,,,,,0.70,,6710.0000000
5528,KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,1,Microlensing,2021,,0.790000,,7.70000,,,,,0.09,,7010.0000000
5530,KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,1,Microlensing,2022,,1.160000,,4.57000,,,,,0.74,,4410.0000000
5533,KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,1,Microlensing,2020,,3.310000,,0.03234,,,,,0.76,,3320.0000000
5534,KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,1,Microlensing,2022,,1.100000,,0.04877,,,,,0.28,,7200.0000000
5535,KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,1,Microlensing,2022,,1.700000,,0.19000,,,,,0.30,,6600.0000000
5542,KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,1,Microlensing,2023,,2.440000,,0.09400,,,,,0.39,,2740.0000000
5544,KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,1,Microlensing,2020,,2.150000,,1.25000,,,,,0.48,,6120.0000000
5547,KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,1,Microlensing,2023,,1.700000,,0.01284,,,,,0.25,,4670.0000000
5550,KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,1,Microlensing,2022,,2.600000,,4.05000,,,,,0.79,,4600.0000000
5552,KMT-2019-BLG-1715L b,KMT-2019-BLG-1715L,1,Microlensing,2021,,3.320000,,2.56000,,,,,0.61,,3860.0000000
5553,KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,1,Microlensing,2023,,3.020000,,0.01469,,,,,0.74,,6640.0000000
5562,KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,1,Microlensing,2020,,,,0.64000,,,,,0.31,,7040.0000000
5564,KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,1,Microlensing,2023,,1.850000,,1.16000,,,,,0.34,,5910.0000000
